steering,left_speed,right_speed
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-10,-10
2,-20,-20
2,-20,-20
2,-20,-20
2,-20,-20
2,-20,-20
2,-20,-20
2,-20,-20
2,-20,-20
2,-20,-20
2,-20,-20
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-30,-30
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-40,-40
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
2,-50,-50
