latitude,longitude
37.5623425,126.93679379999999
37.562342699999995,126.9367939
37.562345,126.9367947
37.5623477,126.9367958
37.5623526,126.9367975
37.5623583,126.9367999
37.562363399999995,126.936802
37.5623686,126.9368042
37.562373699999995,126.93680649999999
37.5623789,126.9368092
37.562384,126.9368114
37.5623885,126.93681339999999
37.5623937,126.93681529999999
37.5623986,126.93681679999999
37.5624034,126.93681819999999
37.562408399999995,126.93681959999999
37.5624134,126.93682059999999
37.5624185,126.9368215
37.5624235,126.93682199999999
37.5624288,126.93682229999999
37.5624341,126.9368222
37.5624392,126.9368219
37.562444299999996,126.9368215
37.5624495,126.93682159999999
37.562455,126.9368217
37.562460099999996,126.9368221
37.5624655,126.93682279999999
37.562470399999995,126.9368239
37.5624752,126.9368255
37.5624798,126.9368277
37.5624841,126.9368301
37.5624883,126.936833
37.5624926,126.936836
37.5624968,126.93683899999999
37.5625011,126.93684209999999
37.5625054,126.93684529999999
