latitude,longitude
37.562472899999996,126.936149
37.5624725,126.9361502
37.562471699999996,126.9361558
37.562470999999995,126.93616259999999
37.562470499999996,126.93616899999999
37.5624703,126.9361776
37.56247,126.9361871
37.5624697,126.9361969
37.5624678,126.9362053
37.562464,126.93621209999999
37.5624569,126.93622359999999
37.5624525,126.9362321
37.5624512,126.93623699999999
37.562449699999995,126.93624469999999
37.5624489,126.9362539
37.5624493,126.93626339999999
37.5624512,126.93627269999999
37.5624544,126.9362816
37.562457599999995,126.9362884
37.5624605,126.9362968
37.5624623,126.93630599999999
37.5624627,126.93631529999999
