latitude,longitude
33.3044133330277,126.317234498516
33.3044132096069,126.317234666651
33.3044127379002,126.317235545961
33.3044115618644,126.317237165156
33.3044104287576,126.317238807066
33.3044092613907,126.317240387665
33.3044080202446,126.317241875135
33.3044069461025,126.317243552109
33.3044056429243,126.317245017364
33.3044043409639,126.317246490581
33.3044031315028,126.317247962327
33.3044017836514,126.317249257779
33.3044004490385,126.317250657706
33.3043990978146,126.317252067064
33.3043977080661,126.317253367536
33.3043961787099,126.317254449136
33.3043948292128,126.317255729767
33.3043933357206,126.317256816721
33.3043918576986,126.317258015876
33.3043903786396,126.317259173714
33.3043889590106,126.317260393574
33.3043874549768,126.3172615276
33.3043859996973,126.317262665189
33.3043844759176,126.317263786238
33.3043829899306,126.317264962681
33.304381611775,126.317266211753
33.3043800726529,126.317267328762
33.3043786186838,126.317268542029
33.3043771218448,126.317269692337
33.3043756899567,126.317270974923
33.3043742492139,126.31727224161
33.3043727703703,126.31727344865
33.3043713866252,126.317274688981
33.3043699784607,126.317276015507
33.3043685084238,126.317277251256
33.3043671829599,126.317278648593
33.3043658092373,126.317280022316
33.3043645954181,126.317281569462
33.3043633258904,126.31728300566
33.3043620027736,126.317284455301
33.3043607696861,126.317285942716
33.3043595804615,126.317287431396
33.3043584954332,126.317289115317
33.3043572985281,126.317290666647
33.304356279067,126.317292415397
33.3043551601909,126.317294047904
33.3043539997015,126.317295665183
33.3043528829016,126.317297340381
33.3043517836532,126.317299010865
33.3043506912626,126.317300636128
33.3043495984319,126.317302276491
33.3043484535355,126.31730389648
33.3043473092388,126.317305534211
33.3043462741365,126.31730724047
33.304345034923,126.31730877946
33.3043439363482,126.317310426881
33.3043427939674,126.317312034359
33.304341760125,126.317313760132
33.3043405623668,126.31731532332
33.3043394699376,126.31731691676
33.3043383427828,126.317318553363
33.304337229714,126.317320220995
33.304336102753,126.317321811069
33.3043348909126,126.317323359688
33.3043337129976,126.317324948714
33.3043326425708,126.317326611592
33.3043314276268,126.317328165128
33.3043304535353,126.317329887244
33.304329216233,126.317331394522
33.3043280943526,126.317333023211
33.3043271030199,126.317334744374
33.3043259664179,126.317336362283
33.3043248872785,126.317338050897
33.3043238383794,126.317339769174
33.3043226977552,126.317341400392
33.3043216923074,126.317343071662
33.304320670506,126.317344823961
33.3043196355018,126.317346560248
33.304318663377,126.317348318327
33.3043176451305,126.317349978103
33.3043165463206,126.317351609242
33.3043155011561,126.317353295901
33.3043144394438,126.3173550233
33.3043133005434,126.317356545686
33.3043122404412,126.317358220746
33.3043113717931,126.317360006802
33.3043104205102,126.317361791879
33.3043093240196,126.317363425212
33.3043084369669,126.317365260386
33.3043073797392,126.317366975858
33.3043064287571,126.31736874147
33.30430553663,126.317370591326
33.3043045869472,126.3173723428
33.3043035298242,126.317374039339
33.3043025880422,126.317375821827
33.3043016338192,126.317377601862
33.3043007154462,126.317379400372
33.3042996875997,126.317381131209
33.3042987198164,126.317382891624
33.3042978062796,126.317384718686
33.3042967247638,126.317386377458
33.3042957937211,126.317388125376
33.3042949039739,126.3173899577
33.3042939651996,126.31739173419
33.3042929486588,126.317393482129
33.3042919843835,126.317395181653
33.3042910709844,126.317397022615
33.3042900954256,126.317398771596
33.3042891290526,126.317400510492
33.304288160192,126.317402257776
33.3042871725399,126.317403986179
33.3042861571549,126.317405717934
33.3042853185659,126.317407520709
33.3042845039597,126.317409431592
33.3042838287694,126.317411344646
33.3042830040875,126.317413156401
33.3042822194008,126.317415038279
33.30428163867,126.317417063144
33.3042808287646,126.317418952913
33.3042801027105,126.317420834874
33.3042792975596,126.317422706008
33.3042787669437,126.317424729809
33.3042781980354,126.317426720994
33.3042777018389,126.317428725434
33.3042772107751,126.31743074127
33.3042769003664,126.317432817701
33.3042764425849,126.317434861701
33.3042761692106,126.317436963861
33.3042757136834,126.317439024155
33.3042754996976,126.317441109636
33.3042750799477,126.317443177531
33.3042747128503,126.317445192801
33.3042744996965,126.317447306366
33.3042740235419,126.317449355449
33.3042736659557,126.317451367775
33.3042733155056,126.317453422455
33.30427302354,126.317455522114
33.304272565297,126.317457539338
33.3042721069548,126.317459569504
33.3042715554054,126.317461603427
33.3042710580965,126.317463652396
33.3042704954306,126.317465677984
33.3042699745777,126.317467722628
33.3042693972527,126.317469727813
33.3042687268981,126.317471674025
33.3042679759079,126.317473546108
33.3042673263753,126.317475510042
33.3042665375745,126.317477417718
33.3042658029044,126.317479356634
33.3042649651993,126.317481234187
33.3042640951801,126.317483002352
33.3042632864033,126.317484897669
33.3042622804522,126.317486641309
33.3042613219792,126.317488441293
33.3042605273993,126.317490257998
33.3042593552682,126.317491839412
33.3042583300128,126.317493557553
33.3042573699575,126.317495257997
33.3042562162373,126.31749689452
33.3042550758841,126.317498550905
33.30425392714,126.317500196992
33.3042526678204,126.317501729818
33.3042514640116,126.31750329016
33.3042501979517,126.317504767231
33.3042490011566,126.317506363434
33.304247715748,126.317507782473
33.3042465005316,126.317509260488
33.3042452142083,126.317510733595
33.3042439681161,126.317512196772
33.3042425949378,126.317513569946
33.3042411462568,126.31751474975
33.304239768406,126.317516063143
33.3042383738513,126.317517392102
33.3042369207726,126.317518551972
33.3042354077084,126.317519625346
33.3042338687147,126.317520718776
33.3042324008544,126.31752190766
33.3042308640364,126.317522977853
33.3042292973425,126.317524022312
33.3042277756372,126.317525098022
33.3042261488154,126.317525903317
33.3042244495481,126.317526577047
33.3042227922148,126.317527301728
33.3042211663669,126.317527998516
33.3042194312746,126.317528576881
33.3042177703698,126.317529277717
33.3042160798699,126.317529805132
33.3042143566295,126.317530379547
33.3042126427683,126.317530808005
33.3042108610068,126.317530998525
33.3042090856333,126.317530998523
33.3042073206864,126.317530955306
33.3042056187786,126.317530653294
33.3042039579095,126.317530321131
33.3042022333212,126.317529844412
