steering,left_speed,right_speed
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,10,10
0,10,10
0,10,10
0,10,10
0,10,10
1,10,10
1,10,10
1,10,10
1,10,10
2,10,10
2,10,10
2,10,10
3,10,10
3,10,10
3,10,10
3,10,10
2,10,10
2,10,10
2,10,10
2,10,10
2,20,20
2,20,20
2,20,20
2,20,20
2,20,20
2,20,20
2,20,20
2,20,20
2,20,20
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
2,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
1,30,30
